Country,"GDP  (nominal, 2017)",GDP  (abbrev.),GDP   growth,Population  (2017),GDP   per capita,Share of  World GDP,Lat,Lng,Continents
Senegal,21070225735.0,21.07,0.0715,15419355,1366,0.0003,14.4750607,-14.4529612,Africa
Papua New Guinea,20536314601.0,20.54,0.0255,8438036,2434,0.0003,-5.6816069,144.2489081,Oceania
Afghanistan,19543976895.0,19.54,0.0267,36296113,538,0.0002,33.7680065,66.2385139,Asia
Bosnia and Herzegovina,18054854789.0,18.05,0.0319,3351525,5387,0.0002,44.3053476,17.5961467,Europe
Botswana,17406565823.0,17.41,0.0236,2205080,7894,0.0002,-23.1681782,24.5928742,Africa
Laos,16853087485.0,16.85,0.0689,6953035,2424,0.0002,20.0171109,103.378253,Asia
Mali,15334336144.0,15.33,0.054,18512430,828,0.0002,16.3700359,-2.2900239,Africa
Georgia,15081338092.0,15.08,0.0483,4008716,3762,0.0002,41.6809707,44.0287382,Antarctica
Gabon,15013950984.0,15.01,0.005,2064823,7271,0.0002,-0.8999695,11.6899699,Africa
Jamaica,14781107822.0,14.78,0.0098,2920848,5061,0.0002,18.1850507,-77.3947693,North America
State of Palestine,14498100000.0,14.50,0.0314,4747227,3054,0.0002,31.462420950000002,34.262716572130714,Asia
Nicaragua,13814261536.0,13.81,0.0486,6384846,2164,0.0002,12.6090157,-85.2936911,North America
Mauritius,13266427697.0,13.27,0.0382,1264499,10491,0.0002,-20.2759451,57.5703566,Africa
Namibia,13253698015.0,13.25,-0.0095,2402633,5516,0.0002,-23.2335499,17.3231107,Africa
Albania,13038538300.0,13.04,0.0384,2884169,4521,0.0002,41.000028,19.9999619,Europe
Mozambique,12645508634.0,12.65,0.0374,28649018,441,0.0002,-19.302233,34.9144977,Africa
Malta,12518134319.0,12.52,0.0642,437933,28585,0.0002,35.8885993,14.4476911,Europe
Burkina Faso,12322864245.0,12.32,0.063,19193234,642,0.0002,12.0753083,-1.6880314,Africa
Equatorial Guinea,12293579173.0,12.29,-0.0492,1262002,9741,0.0002,1.613172,10.5170357,Africa
Bahamas,12162100000.0,12.16,0.0144,381755,31858,0.0002,24.7736546,-78.0000547,North America
Brunei,12128089002.0,12.13,0.0133,424473,28572,0.0001,4.4137155,114.5653908,Asia
Armenia,11536590636.0,11.54,0.075,2944791,3918,0.0001,40.7696272,44.6736646,Asia
Madagascar,11499803807.0,11.50,0.0417,25570512,450,0.0001,-18.9249604,46.4416422,Africa
Mongolia,11433635876.0,11.43,0.053,3113786,3672,0.0001,46.8250388,103.8499736,Asia
North Macedonia,11279509014.0,11.28,0.0024,2081996,5418,0.0001,41.6171214,21.7168387,Europe
Guinea,10472514515.0,10.47,0.106,12067519,868,0.0001,10.7226226,-10.7083587,Africa
Chad,9871247732.0,9.87,-0.0295,15016753,657,0.0001,15.6134137,19.0156172,Africa
Benin,9246696924.0,9.25,0.0584,11175198,827,0.0001,9.5293472,2.2584408,Africa
Rwanda,9135454442.0,9.14,0.0606,11980961,762,0.0001,-1.9646631,30.0644358,Africa
Congo,8701334800.0,8.70,-0.031,5110695,1703,0.0001,-0.7264327,15.6419155,Africa
Haiti,8408150518.0,8.41,0.0117,10982366,766,0.0001,19.1399952,-72.3570972,North America
Moldova,8128493432.0,8.13,0.045,4059684,2002,0.0001,47.2879608,28.5670941,Europe
Niger,8119710126.0,8.12,0.0489,21602382,376,0.0001,17.7356214,9.3238432,Africa
Kyrgyzstan,7564738836.0,7.56,0.0458,6189733,1222,0.0001,41.5089324,74.724091,Asia
Tajikistan,7146449583.0,7.15,0.0762,8880268,805,0.0001,38.6281733,70.8156541,Asia
Malawi,6303292264.0,6.30,0.04,17670196,357,0.0001,-13.2687204,33.9301963,Africa
Guam,5859000000.0,5.86,0.0019,164281,35665,0.0001,0.0,0.0,Oceania
Fiji,5061202767.0,5.06,0.038,877459,5768,0.0001,-18.1239696,179.0122737,Oceania
Mauritania,5024708656.0,5.02,0.035,4282570,1173,0.0001,20.2540382,-9.2399263,Africa
Maldives,4865546027.0,4.87,0.0691,496402,9802,0.0001,3.7203503,73.2244152,Asia
Montenegro,4844592067.0,4.84,0.047,627563,7720,0.0001,42.9868853,19.5180992,Europe
Togo,4757776485.0,4.76,0.044,7698474,618,0.0001,8.7800265,1.0199765,Africa
Barbados,4673500000.0,4.67,0.01,286232,16328,0.0001,13.1500331,-59.5250305,North America
Eswatini,4433664364.0,4.43,0.0187,1124805,3942,0.0001,-26.5624806,31.3991317,Africa
Sierra Leone,3775047334.0,3.78,0.0421,7488423,504,0.0,8.6400349,-11.8400269,Africa
Guyana,3621046005.0,3.62,0.0292,775222,4671,0.0,4.8417097,-58.6416891,South America
Liberia,3285455000.0,3.29,0.0247,4702226,699,0.0,5.7499721,-9.3658524,Africa
Burundi,3172416146.0,3.17,0.005,10827019,293,0.0,-3.426449,29.9324519,Africa
Andorra,3012914131.0,3.01,0.0187,77001,39128,0.0,42.5407167,1.5732033,Europe
Suriname,2995827901.0,3.00,0.0169,570496,5251,0.0,4.1413025,-56.0771187,South America
Timor-Leste,2954621000.0,2.95,-0.08,1243258,2377,0.0,-8.7443169,126.063482,Oceania
Aruba,2700558659.0,2.70,0.0133,105366,25630,0.0,12.517399,-69.972795,North America
Lesotho,2578265358.0,2.58,-0.0229,2091534,1233,0.0,-29.6039267,28.3350193,Africa
Bhutan,2528007911.0,2.53,0.0463,745563,3391,0.0,27.549511,90.5119273,Asia
Central African Republic,1949411659.0,1.95,0.043,4596023,424,0.0,7.0323598,19.9981227,Africa
Belize,1862614800.0,1.86,0.0144,375769,4957,0.0,16.8259793,-88.7600927,North America
Cabo Verde,1772706451.0,1.77,0.0401,537498,3298,0.0,16.0000552,-24.0083947,Africa
Saint Lucia,1737504296.0,1.74,0.0382,180954,9602,0.0,13.8250489,-60.975036,North America
San Marino,1632860041.0,1.63,0.015,33671,48495,0.0,43.9458623,12.458306,Europe
Northern Mariana Islands,1593000000.0,1.59,0.2514,56562,28164,0.0,0.0,0.0,Oceania
Antigua and Barbuda,1510084751.0,1.51,0.0303,95426,15825,0.0,17.2234721,-61.9554608,North America
Seychelles,1497959569.0,1.50,0.0528,96418,15536,0.0,-4.6574977,55.4540146,Africa
Gambia,1489464788.0,1.49,0.0456,2213889,673,0.0,13.470062,-15.4900464,Africa
Guinea-Bissau,1346841897.0,1.35,0.0592,1828145,737,0.0,11.815215,-15.2351044,Africa
Solomon Islands,1303453622.0,1.30,0.0324,636039,2049,0.0,-8.7053941,159.1070693851845,Oceania
Grenada,1126882296.0,1.13,0.0506,110874,10164,0.0,12.1360374,-61.6904045,North America
Comoros,1068124330.0,1.07,0.0271,813892,1312,0.0,-12.2045176,44.2832964,Africa
